consumer_tag,consumer_layer,producer_tag,producer_layer,snippet,classification,matched_keywords,consumer_path
S1.3,L2,S1.2,L5,S1.2 privacy class (type-level),vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/01_object_model.md
S10.1,L3,S2.3,L4,"S2.3 Policy Kernel (decision shape + hard-deny vocabulary, type-level), S5.3 Approval Mechanics (approval-request shape, type-level), S5.4 Emergency Override (`NonOverridableClass` shape, type-level),...",vocabulary, shape; approval-request shape; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S10.1,L3,S2.4,L9,"S2.4 Verification Engine (verification primitive vocabulary, type-level), S3.2 Sandbox Composition (`SandboxProfile` shape, type-level), S3.1 Evidence Log RecordType + retention vocabulary (type-level...",vocabulary, shape; recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S10.1,L3,S3.1,L9,"S3.1 Evidence Log RecordType + retention vocabulary (type-level), S2.3 Policy Kernel (decision shape + hard-deny vocabulary, type-level), S5.3 Approval Mechanics (approval-request shape, type-level), ...",vocabulary, shape; approval-request shape; recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S10.1,L3,S3.2,L6,"S3.2 Sandbox Composition (`SandboxProfile` shape, type-level), S3.1 Evidence Log RecordType + retention vocabulary (type-level), S2.3 Policy Kernel (decision shape + hard-deny vocabulary, type-level),...",vocabulary, shape; approval-request shape; recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S10.1,L3,S5.3,L4,"S5.3 Approval Mechanics (approval-request shape, type-level), S5.4 Emergency Override (`NonOverridableClass` shape, type-level), L4.2 Vault Broker (capability-binding shape, type-level), L0 invariant ...",vocabulary, shape; approval-request shape; type-level,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S10.1,L3,S5.4,L4,"S5.4 Emergency Override (`NonOverridableClass` shape, type-level), L4.2 Vault Broker (capability-binding shape, type-level), L0 invariant catalog (closed-id reference)",vocabulary, shape; type-level,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/03_capability_runtime_grpc.md
S12.1,L6,S11.1,L10,"lifecycle FSM); S11.1 Repository Model (`PackageKind = ADAPTER`, `RepositoryKind = AIOS_COMMUNITY_REPO`, `PublisherTrustLevel`, capability-lie audit); S5.3 Approval Mechanics (`request_approval`, `EXA...",vocabulary,manifest,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/01_app_runtime_model.md
S12.1,L6,S8.1,L8,"`EXACT_ACTION` binding); S8.1 Network Policy (`NetworkOutboundManifest`); S8.2 GPU Resource Model (per-group VkDevice, `GpuPolicy`); S3.1 Evidence Log (`RecordType` vocabulary, `FOREVER`/`STANDARD_24M...",vocabulary,manifest; recordtype; vocabulary,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/01_app_runtime_model.md
S12.2,L6,S2.4,L9,"`RecoveryRequired`); S2.4 Verification Grammar (`PropertyType`, `aiosfs_path_in_namespace`, `SANDBOX_PROFILE_MOST_RESTRICTIVE`); S3.1 Evidence Log (`RecordType` vocabulary, retention classes `STANDARD...",vocabulary,recordtype; verification grammar; vocabulary,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/02_package_model.md
S12.2,L6,S3.1,L9,"`SANDBOX_PROFILE_MOST_RESTRICTIVE`); S3.1 Evidence Log (`RecordType` vocabulary, retention classes `STANDARD_24M` / `EXTENDED_60M` / `FOREVER`); S3.2 Sandbox Composition (`SandboxProfile`, six-source ...",vocabulary,recordtype; vocabulary,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/02_package_model.md
S12.3,L6,S11.1,L10,"┬¦20 `ecosystem_runtime` field consolidation); S11.1 Repository Model (signed package manifest with `ecosystem_runtime` field, `PackageKind = ADAPTER`); S8.2 GPU Resource Model (per-group `VkDevice`, `...",vocabulary, field; manifest,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/03_compatibility_runtime.md
S12.3,L6,S8.2,L8,"`PackageKind = ADAPTER`); S8.2 GPU Resource Model (per-group `VkDevice`, `GpuPolicy`); S0.1 Action Envelope (typed action `app.launch`, lifecycle FSM); S2.4 Verification Grammar (post-launch verificat...",vocabulary,recordtype; verification grammar,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/03_compatibility_runtime.md
S12.4,L6,S11.1,L10,"`ApprovalStrength`); S11.1 Repository Model (`AIOS_COMMUNITY_REPO`, `RepositoryKind`, `publisher_root_id`, `PublisherTrustLevel`, AIOS-root-signed publisher catalog); S12.1 App Runtime Model (`Ecosyst...",vocabulary,manifest,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/05_compatibility_knowledge.md
S12.4,L6,S3.1,L9,"INV-017 (sandbox floor constitutional); S0.1 envelope FSM (AI cannot transition `policy_pending ŌåÆ executing`); S3.1 Evidence Log (`RecordType` vocabulary, `STANDARD_24M` / `EXTENDED_60M` / `FOREVER` r...",vocabulary,recordtype; vocabulary,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/05_compatibility_knowledge.md
S13.1,L5,S3.1,L9,S3.1 (evidence record vocabulary ŌĆö type-level; L5 emits records that L9 absorbs),vocabulary,evidence record; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L5_Cognitive_Core/01_cognitive_core_model.md
S13.1,L5,S8.1,L8,"S8.1 (network policy ŌĆö `AICrossOriginPosture = AI_VAULT_BROKERED_ONLY` closed enum, type-level; L5 emits envelopes that L8 enforces network-side)",vocabulary, enum; closed enum; type-level,002.AI-OS.NET--SPECREV.2/L5_Cognitive_Core/01_cognitive_core_model.md
S13.2,L5,S11.1,L10,S11.1 (`PackageKind = ADAPTER`; `PublisherTrustLevel = AIOS_VERIFIED`),vocabulary,backtick-group:`PackageKind = ADAPTER`,002.AI-OS.NET--SPECREV.2/L5_Cognitive_Core/05_model_router.md
S13.2,L5,S14.1,L9,"S14.1 (failure handling ŌĆö circuit breaker discipline, `DegradationLevel`, anti-cascade rules)",vocabulary,circuit breaker; discipline,002.AI-OS.NET--SPECREV.2/L5_Cognitive_Core/05_model_router.md
S13.2,L5,S8.1,L8,S8.1 (`AICrossOriginPosture`; vault-brokered external pattern ┬¦5.7; `EXTERNAL_MODEL_CALL_BROKERED` evidence record),vocabulary,evidence record; vault-brokered,002.AI-OS.NET--SPECREV.2/L5_Cognitive_Core/05_model_router.md
S15.1,L3,S2.4,L9,"S2.4 Verification Grammar, S3.1 Evidence Log, S1.3 Object Model (versioning),",vocabulary,verification grammar,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/01_unit_manifest.md
S15.1,L3,S3.1,L9,"S3.1 Evidence Log, S1.3 Object Model (versioning),",vocabulary,bare-spec-ref-list,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/01_unit_manifest.md
S15.1,L3,S3.2,L6,"S3.2 Sandbox Composition, S2.4 Verification Grammar, S3.1 Evidence Log, S1.3 Object Model (versioning),",vocabulary,verification grammar,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/01_unit_manifest.md
S15.2,L3,S2.4,L9,S2.4 Verification,vocabulary,bare-spec-ref-list,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/02_state_transitions.md
S15.3,L3,S11.1,L10,"runtime safety floor); S11.1 Repository Model (publisher trust chain, `PackageKind = ADAPTER`, Ed25519 signature discipline); S2.4 Verification Engine; S2.3 Policy Kernel; L4.2 Vault Broker; L0 invari...",vocabulary,discipline; trust chain,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/04_adapter_model.md
S15.3,L3,S2.3,L4,"Ed25519 signature discipline); S2.4 Verification Engine; S2.3 Policy Kernel; L4.2 Vault Broker; L0 invariant catalog (INV-002, INV-008, INV-013, INV-014, INV-015, INV-017)",vocabulary,discipline,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/04_adapter_model.md
S15.3,L3,S2.4,L9,"Ed25519 signature discipline); S2.4 Verification Engine; S2.3 Policy Kernel; L4.2 Vault Broker; L0 invariant catalog (INV-002, INV-008, INV-013, INV-014, INV-015, INV-017)",vocabulary,discipline,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/04_adapter_model.md
S15.3,L3,S3.2,L6,"`ExecutionFailureReason`); S0.1 Action Envelope + Lifecycle; S3.2 Sandbox Composition (`SandboxProfile`, runtime safety floor); S11.1 Repository Model (publisher trust chain, `PackageKind = ADAPTER`, ...",vocabulary,discipline; trust chain,002.AI-OS.NET--SPECREV.2/L3_AIOS_SGR_Service_Graph_Runtime/04_adapter_model.md
S2.1,L2,S1.2,L5,S1.2 PrivacyClass enum,vocabulary, enum,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/02_query_view_language.md
S4.1,L2,S2.3,L4,S2.3 (policy condition predicates ŌĆö type-level),vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/05_namespace_layout.md
S4.1,L2,S2.4,L9,S2.4 (verification path-property shape ŌĆö type-level),vocabulary, shape; type-level,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/05_namespace_layout.md
S4.1,L2,S3.1,L9,S3.1 (record-scoping shape ŌĆö type-level),vocabulary, shape; type-level,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/05_namespace_layout.md
S4.1,L2,S3.2,L6,S3.2 (sandbox boundary descriptor ŌĆö type-level),vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L2_AIOS_FS/05_namespace_layout.md
S5.3,L4,S7.1,L7,"S7.1 surface composition, S7.2 shared UI schema",vocabulary,bare-spec-ref-list,002.AI-OS.NET--SPECREV.2/L4_Policy_Identity_Vault/04_approval_mechanics.md
S5.3,L4,S7.2,L7,S7.2 shared UI schema,vocabulary,bare-spec-ref-list,002.AI-OS.NET--SPECREV.2/L4_Policy_Identity_Vault/04_approval_mechanics.md
S6.3,L0,S3.1,L9,**Imports vocabulary from**: S3.1 (`RecordType` closed enum + `RetentionClass` enum + segment model + hash chain algorithm ŌĆö type-level shape co-defined with L9; L0 receipt envelope embeds these witho...,vocabulary, enum;  shape; closed enum; imports vocabulary; recordtype; shape co-defined; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L0_Governance_Evidence_Safety/03_evidence_receipt_schema.md
S6.3,L0,S4.1,L2,"S4.1 (`(scope, group_id, user_id)` triple ŌĆö type-level scope shape owned by L2)",vocabulary, shape; type-level,002.AI-OS.NET--SPECREV.2/L0_Governance_Evidence_Safety/03_evidence_receipt_schema.md
S6.3,L0,S5.1,L4,S5.1 (Subject canonical id format ŌĆö type-level string format owned by L4),vocabulary,id format; string format; type-level,002.AI-OS.NET--SPECREV.2/L0_Governance_Evidence_Safety/03_evidence_receipt_schema.md
S6.5,L6,S7.1,L7,"runtime safety floor); S7.1 Surface + Composition Model (`CompositionZone`, `SurfaceKind`); S7.4 KDE Plasma Renderer (Wayland session shape); S7.5 Web Renderer (subdomain per-group origins, recovery.l...",vocabulary, shape,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/06_session_container_model.md
S6.5,L6,S7.4,L7,"`SurfaceKind`); S7.4 KDE Plasma Renderer (Wayland session shape); S7.5 Web Renderer (subdomain per-group origins, recovery.localhost); S8.1 Network Policy (`OutboundDirective`, `InboundExposureClass`)...",vocabulary, shape,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/06_session_container_model.md
S6.5,L6,S7.5,L7,"`SurfaceKind`); S7.4 KDE Plasma Renderer (Wayland session shape); S7.5 Web Renderer (subdomain per-group origins, recovery.localhost); S8.1 Network Policy (`OutboundDirective`, `InboundExposureClass`)...",vocabulary, shape,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/06_session_container_model.md
S6.5,L6,S8.1,L8,"recovery.localhost); S8.1 Network Policy (`OutboundDirective`, `InboundExposureClass`); S8.2 GPU Resource Model (`GpuCapabilityClass`, per-group VkDevice); S5.1 Identity (subject canonical id); S5.3 A...",vocabulary,backtick-group:`OutboundDirective`,002.AI-OS.NET--SPECREV.2/L6_Apps_Packages_Compatibility/06_session_container_model.md
S7.1,L7,S3.1,L9,"S3.1 evidence record schema (type-level), S3.2 sandbox profile (type-level), S4.1 namespace catalog (type-level), S5.1 identity (type-level), L0 invariants INV-019..INV-022 (closed-id reference), S8.2...",vocabulary,evidence record; type-level,002.AI-OS.NET--SPECREV.2/L7_Interaction_Renderers/01_surface_composition.md
S7.1,L7,S8.2,L8,S8.2 L8 GPU resource model (`gpu_capability_class` closed enum + per-group `VkDevice` brokering API ŌĆö type-level shape co-defined with L8),vocabulary, enum;  shape; closed enum; shape co-defined; type-level,002.AI-OS.NET--SPECREV.2/L7_Interaction_Renderers/01_surface_composition.md
S7.2,L7,S3.1,L9,S3.1 (evidence refs),vocabulary,bare-spec-ref-list,002.AI-OS.NET--SPECREV.2/L7_Interaction_Renderers/02_shared_ui_schema.md
S7.4,L7,S8.2,L8,"S8.2 GPU Resource Model (per-group `VkDevice` shape, dmabuf brokering capability schema, `gpu_capability_class` closed enum ŌĆö type-level shape co-defined with L8; renderer requests a `GpuCapabilityBin...",vocabulary, enum;  shape; closed enum; shape co-defined; type-level,002.AI-OS.NET--SPECREV.2/L7_Interaction_Renderers/04_kde_renderer.md
S7.5,L7,S8.2,L8,"S8.2 GPU Resource Model (per-origin `GPUAdapter` shape, group-bound origin scheme ŌĆö type-level shape co-defined with L8), L0 INV-006 (web localhost default ŌĆö closed-id reference), INV-019..INV-022 (cl...",vocabulary, shape; shape co-defined; type-level,002.AI-OS.NET--SPECREV.2/L7_Interaction_Renderers/05_web_renderer.md
S8.1,L8,S2.4,L9,"S2.4 Verification Grammar (network primitives queued), S3.1 Evidence Log (record append), S3.2 Sandbox Composition (`NetworkMode` floor binding), S5.1 Identity Model (subject `is_ai`, `recovery_mode`,...",vocabulary,verification grammar,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/02_network_policy.md
S8.1,L8,S3.1,L9,"S3.1 Evidence Log (record append), S3.2 Sandbox Composition (`NetworkMode` floor binding), S5.1 Identity Model (subject `is_ai`, `recovery_mode`, `primary_group_id`), S4.1 Namespace Layout (`/aios/gro...",vocabulary,backtick-group:`NetworkMode`,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/02_network_policy.md
S8.3,L8,S3.1,L9,"hard-deny vocabulary ŌĆö type-level); S3.1 Evidence Log (record append shape, FOREVER retention class ŌĆö type-level); S3.2 Sandbox Composition (sandbox `device_policy` floor schema ŌĆö type-level); S4.1 Na...",vocabulary, enum;  shape; closed enum; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/01_hardware_graph.md
S8.4,L8,S2.4,L9,"S2.4 Verification Grammar (DNS / VPN / mDNS primitives queued), S3.1 Evidence Log (record append), S3.2 Sandbox Composition (`NetworkMode` floor still binds ŌĆö VPN does not loosen sandbox), S4.1 Namesp...",vocabulary,verification grammar,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/03_dns_vpn_management.md
S8.4,L8,S3.1,L9,"S3.1 Evidence Log (record append), S3.2 Sandbox Composition (`NetworkMode` floor still binds ŌĆö VPN does not loosen sandbox), S4.1 Namespace Layout (`/aios/system/network/resolvers/`, `/aios/system/net...",vocabulary,backtick-group:`NetworkMode`,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/03_dns_vpn_management.md
S8.5,L8,S3.1,L9,"`SCOPE_TOO_BROAD` ŌĆö type-level); S3.1 Evidence Log (`RecordType` vocabulary, retention classes `STANDARD_24M`/`EXTENDED_60M`/`FOREVER` ŌĆö type-level); S2.3 Policy Kernel hard-deny vocabulary (type-leve...",vocabulary,recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L8_Network_Hardware_Devices/04_firmware_trust.md
S9.1,L1,S2.3,L4,. **Requires for correctness (degraded subset only)**: S2.3 Policy Kernel hard-deny `RecoveryRequiredForSystemMutation` (the recovery boot path requires the _degraded_ policy-kernel-with-recovery-bund...,exception,degraded subset; degraded subset only; requires for correctness; subset only,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.1,L1,S4.1,L2,S4.1 (`/aios/system/...` recovery-only mutation classes ŌĆö closed path enum; type-level),vocabulary, enum; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.1,L1,S5.1,L4,"**Imports vocabulary from**: S5.1 (`SessionClass.RECOVERY`, `_system` scope subjects ŌĆö closed-enum identifier shape; type-level)",vocabulary, shape; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.1,L1,S5.4,L4,S5.4 Emergency Override `STRONG_SOLO` recovery-only (recovery boot requires the override stack present in degraded form),exception,degraded form; requires the over,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/01_recovery_boundary.md
S9.2,L1,S3.1,L9,S3.1 (`RecordType` vocabulary + retention classes + append-only chain shape ŌĆö type-level evidence-log schema),vocabulary, shape; recordtype; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S4.1,L2,S4.1 (`/aios/system/...` namespace path enum ŌĆö type-level),vocabulary, enum; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S5.1,L4,"**Imports vocabulary from**: S5.1 (`SubjectKind`, `_system` scope subjects, `SessionClass` ŌĆö closed enums; type-level)",vocabulary, enum; closed enum; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.2,L1,S5.2,L4,S5.2 (master-key seal API surface ŌĆö type-level capability schema co-defined with L4 vault),vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/02_first_boot_flow.md
S9.3,L1,S10.1,L3,"**Imports vocabulary from**: S10.1 Capability Runtime (`ActionLifecycleState`, `ActionDispatchKind = ISOLATED_SANDBOX`, `AdapterIOMode = TYPED_PARAMETERS_ONLY`, `ExecutionFailureReason = EXECUTION_VER...",vocabulary, shape; imports vocabulary; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S11.1,L10,"S11.1 Repository Model (`PackageKind = KERNEL_CANDIDATE`, `RepositoryKind = AIOS_RECOVERY_REPO`, `UpdateChannel = RECOVERY_CRITICAL` ŌĆö type-level package vocabulary), S8.2 GPU Resource Model (hardware...",vocabulary,id format; type-level; vocabulary,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S3.2,L6,"S3.2 Sandbox Composition (`SandboxProfile`, runtime safety floor, AI-floor ŌĆö type-level profile schema), S11.1 Repository Model (`PackageKind = KERNEL_CANDIDATE`, `RepositoryKind = AIOS_RECOVERY_REPO`...",vocabulary,type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
S9.3,L1,S8.2,L8,"S8.2 GPU Resource Model (hardware graph snapshot id format ŌĆö type-level), L8 HDM (`HardwareGraphSnapshotId` shape ŌĆö type-level), S3.1 Evidence Log (`RecordType` + retention classes + hash chain shape ...",vocabulary, shape; id format; recordtype; type-level,002.AI-OS.NET--SPECREV.2/L1_Kernel_Bootstrap_Recovery/03_dedicated_kernel_pipeline.md
